TIMESTMAP,Values1
2020-04-13 18:47:12,275
2020-11-09 00:25:44,293
2020-07-16 08:00:39,172
2020-11-06 13:48:45,125
2020-10-30 17:38:34,11
2020-06-06 10:32:24,12
2020-04-28 16:04:15,106
2020-04-23 02:03:20,24
2020-07-15 14:55:25,10
2020-09-04 05:29:10,22
2020-03-20 04:58:05,19
2020-08-16 12:52:59,289
2020-02-25 05:26:40,289
2020-12-16 13:21:03,11
2020-01-03 06:49:35,17
2020-10-11 01:08:45,26
2020-10-16 18:53:35,206
2020-04-14 08:27:57,24
2020-08-06 02:04:12,282
2020-07-16 16:28:58,199
2020-04-23 14:56:39,142
2020-02-08 16:33:33,12
2020-12-18 16:06:52,28
2020-04-07 03:07:14,151
2020-04-27 16:04:13,12
2020-06-22 05:27:38,190
2020-09-23 05:27:04,209
2020-06-20 14:53:17,21
2020-01-11 01:48:35,23
2020-01-20 08:45:38,229
2020-10-19 13:02:29,247
2020-09-20 01:06:21,27
2020-12-31 02:38:42,21
2020-06-04 12:05:10,255
2020-12-26 19:50:34,12
2020-06-14 13:19:50,16
2020-04-02 09:01:56,19
2020-12-07 10:50:06,27
2020-08-16 18:54:08,21
2020-04-20 21:04:35,230
2020-09-10 00:37:29,284
2020-12-31 01:12:28,248
2020-03-10 14:34:52,17
2020-09-15 10:57:37,157
2020-06-15 17:51:31,22
2020-03-12 08:32:08,135
2020-05-11 06:09:56,15
2020-04-09 21:57:15,18
2020-12-02 11:10:22,11
2020-10-23 01:31:08,24
2020-07-06 00:38:55,245
2020-01-18 07:30:56,257
2020-03-07 06:27:26,216
2020-11-23 03:03:40,22
2020-04-26 11:20:16,288
2020-06-14 07:01:42,26
2020-04-30 15:30:50,23
2020-10-03 21:33:18,282
2020-07-27 23:16:33,23
2020-08-19 05:26:10,27
2021-01-01 01:55:34,192
2020-11-28 07:14:14,216
2020-11-29 23:04:30,216
2020-06-09 15:38:30,198
2020-11-08 19:40:10,155
2020-02-18 18:57:51,226
2020-03-31 16:10:24,23
2020-01-12 05:25:34,21
2020-12-21 00:10:33,15
2020-05-09 15:07:43,20
2020-04-07 00:30:48,138
2020-04-08 14:42:58,23
2020-12-20 16:38:31,213
2020-01-14 10:51:28,25
2020-07-25 21:54:44,148
2020-09-10 12:01:42,134
2020-03-22 10:17:38,268
2020-09-22 23:04:26,121
2020-09-15 09:58:37,117
2020-06-18 22:22:13,24
2020-05-02 18:16:17,269
2020-10-05 18:44:44,25
2020-07-22 13:18:31,11
2020-06-14 14:05:01,28
2020-10-22 14:56:44,159
2020-12-05 19:13:33,12
2020-05-28 23:36:41,178
2020-03-26 10:10:34,14
2020-11-06 13:45:56,23
2020-07-31 13:57:11,227
2020-05-18 04:22:07,136
2020-02-27 22:05:38,141
2020-03-05 03:19:54,227
2020-07-13 13:02:45,13
2020-05-26 01:48:51,17
2020-06-01 06:29:12,25
2020-07-10 00:38:01,204
2020-09-22 12:57:30,17
2020-01-13 16:56:48,274
2020-08-01 13:43:49,29
2020-06-26 19:27:20,12
2020-04-27 17:50:01,238
2020-04-23 17:49:13,11
2020-02-03 03:32:37,237
2020-10-28 19:51:59,212
2020-06-08 02:46:39,287
2020-05-01 18:14:35,15
2020-01-19 19:03:05,129
2020-10-16 00:03:35,146
2020-04-04 17:27:50,16
2020-08-16 08:27:30,27
2020-05-08 02:41:42,147
2020-01-19 19:18:59,23
2020-09-28 03:12:39,184
2020-10-27 20:28:50,12
2020-05-15 18:05:24,255
2020-03-14 14:38:02,21
2020-02-23 19:57:06,10
2020-07-20 08:20:10,239
2020-09-08 04:00:32,18
2020-06-22 22:54:18,237
2020-03-03 10:58:16,26
2020-01-31 04:40:55,126
2020-05-14 18:41:25,183
2020-01-03 13:05:40,25
2020-06-15 20:37:59,16
2020-12-27 11:50:10,265
2020-08-21 22:39:56,23
2020-11-12 11:39:01,151
2020-02-18 03:33:17,19
2020-08-30 07:05:44,10
2020-11-28 02:33:49,172
2020-05-03 07:36:01,137
2020-07-24 19:39:39,161
2020-02-14 10:48:59,18
2020-08-16 13:41:15,280
2020-11-16 01:20:05,22
2020-04-22 08:07:14,299
2020-09-18 18:47:15,161
2020-03-27 21:26:44,166
2020-06-30 02:56:18,20
2020-04-30 15:43:09,23
2020-10-04 15:54:33,26
2020-09-25 19:55:17,176
2020-04-28 12:49:22,22
2020-09-20 21:01:00,25
2020-06-12 00:09:49,193
2020-01-24 18:12:39,21
2020-06-19 18:45:26,24
2020-07-05 15:12:38,137
2020-06-15 21:30:41,13
2020-06-03 01:46:43,175
2020-10-14 00:58:50,19
2020-05-26 14:32:28,138
2020-06-08 08:04:02,16
2020-11-17 21:26:38,277
2020-03-15 08:03:30,15
2020-04-08 02:39:37,132
2020-06-16 03:35:42,177
2020-01-20 11:19:23,15
2020-07-05 08:16:50,223
2020-11-05 07:36:05,180
2020-05-05 15:13:21,155
2020-06-24 19:20:32,19
2020-12-31 20:40:20,207
2020-11-09 01:57:44,28
2020-06-21 20:34:21,142
2020-01-29 09:51:15,26
2020-10-13 23:36:55,15
2020-11-16 07:35:12,296
2020-08-02 05:00:59,110
2020-03-05 11:39:46,15
2020-09-29 03:32:11,10
2020-11-28 14:41:51,16
2020-09-14 13:45:31,287
2020-10-19 17:55:18,185
2020-02-28 23:08:39,25
2020-04-03 20:39:17,25
2020-12-11 10:38:50,260
2020-06-21 01:15:44,251
2020-05-14 22:30:24,191
2020-03-05 21:44:01,161
2020-06-20 13:18:37,213
2020-07-09 17:43:16,18
2020-12-14 06:27:47,11
2020-02-27 04:50:21,218
2020-09-17 12:10:08,224
2020-08-20 17:51:35,26
2020-12-26 18:05:57,27
2020-07-05 22:21:01,106
2020-02-07 03:58:14,164
2020-03-08 10:39:50,113
2020-07-21 19:45:41,15
2020-04-03 17:30:02,28
2020-07-11 05:16:38,281
2020-04-30 18:39:08,16
2020-11-14 16:13:25,18
2020-12-24 05:15:43,269
2020-05-19 14:53:11,134
2020-08-01 03:59:53,152
2020-11-26 09:29:11,28
2020-07-26 09:11:05,115
2020-01-22 11:47:48,16
2020-10-14 18:00:37,15
2020-12-26 06:38:25,21
2020-08-05 16:34:10,13
2020-01-30 02:49:02,10
2020-04-20 23:53:17,259
2020-08-21 15:46:41,16
2020-06-18 12:33:52,216
2020-09-22 19:46:32,139
2020-09-23 04:52:48,194
2020-09-25 09:02:09,115
2020-03-01 23:16:14,167
2020-08-23 21:04:00,235
2020-11-04 14:13:34,155
2020-01-18 22:09:07,293
2020-12-08 17:34:43,13
2020-03-14 07:39:20,179
2020-03-28 00:44:29,184
2020-04-24 04:59:05,183
2020-06-11 00:49:30,10
2020-06-10 23:52:54,20
2020-04-16 11:41:25,225
2020-12-14 19:05:37,239
2020-01-20 18:03:55,252
2020-04-11 20:56:16,247
2020-10-18 08:57:51,15
2020-11-15 18:21:38,151
2020-04-05 19:00:48,10
2020-06-25 06:07:51,22
2020-12-14 16:37:25,171
2020-08-07 17:43:10,12
2020-09-08 09:40:00,167
2020-05-15 03:36:10,21
2020-07-24 07:19:39,202
2020-07-18 06:59:18,137
2020-10-02 05:31:37,29
2020-06-30 17:00:41,141
2020-11-15 22:05:24,155
2020-07-23 14:15:30,290
2020-03-23 03:42:30,20
2020-07-18 04:49:56,264
2020-06-19 11:27:22,182
2020-05-28 10:39:16,230
2020-01-20 07:25:30,10
2020-03-09 16:06:52,11
2020-03-13 22:28:51,27
2020-08-02 22:15:41,208
2020-06-14 13:43:58,17
2020-06-25 20:51:32,18
2020-03-05 17:12:59,253
2020-05-20 17:50:35,230
2020-12-01 14:44:52,287
2020-03-15 21:16:57,235
2020-09-22 04:05:32,245
2020-12-01 00:56:24,119
2020-03-30 23:54:08,28
2020-03-02 05:18:07,24
2020-04-17 23:29:43,198
2020-11-09 00:26:39,126
2020-01-13 06:20:23,273
2020-05-23 05:39:30,132
2020-04-14 17:09:15,122
2020-11-07 17:20:33,15
2020-04-19 11:03:03,16
2020-02-02 23:45:08,17
2020-08-12 01:05:40,14
2020-05-09 04:24:52,12
2020-03-01 12:47:25,19
2020-03-02 17:48:40,298
2020-10-28 05:33:48,27
2020-11-24 19:21:56,295
2020-09-03 19:18:38,27
2020-10-19 23:30:29,24
2020-03-03 13:59:32,257
2020-10-30 10:27:14,227
2020-01-17 19:43:29,17
2020-11-04 23:50:29,236
2020-12-01 08:50:26,10
2020-11-09 09:29:27,226
2020-03-25 06:18:09,13
2020-05-12 02:50:37,141
2020-10-12 09:39:30,22
2020-11-20 00:03:26,22
2020-04-16 13:31:22,19
2020-05-10 09:47:10,243
2020-06-01 07:31:47,206
2020-11-22 13:36:18,278
2020-01-21 08:20:26,16
2020-05-19 12:44:33,261
2020-09-09 08:12:44,23
2020-03-28 09:41:33,264
2020-12-06 19:48:00,21
2020-06-01 01:29:24,17
2020-11-20 14:29:14,21
2020-01-05 23:14:08,10
2020-10-29 14:26:12,104
2020-08-08 04:01:25,18
2020-09-11 21:09:53,27
2020-06-22 11:33:35,17
2020-03-05 20:10:33,211
2020-12-12 15:10:06,18
2020-11-16 03:58:39,24
2020-09-28 15:47:15,111
2020-04-08 05:21:08,14
2020-09-15 16:48:26,158
2020-07-07 23:31:46,10
2020-08-21 13:53:18,142
2020-07-16 21:41:16,272
2020-08-26 18:12:50,19
2020-05-17 07:01:50,13
2020-02-21 19:47:44,121
2020-01-26 22:41:52,286
2020-08-21 08:48:53,152
2020-10-28 06:26:55,271
2020-10-11 11:14:13,188
2020-04-07 09:10:32,198
2020-03-03 04:50:50,22
2020-09-14 15:22:42,161
2020-11-21 06:22:13,207
2020-11-01 06:24:05,10
2020-10-18 14:32:28,256
2020-07-22 21:17:14,12
2020-12-03 00:25:25,27
2020-12-17 04:49:53,19
2020-10-28 20:48:42,20
2020-06-15 14:51:57,231
2020-06-11 00:43:55,141
2020-04-30 02:01:48,171
2020-11-01 15:26:25,17
2020-07-17 23:55:03,220
2020-04-09 03:40:31,12
2020-10-04 09:35:04,25
2020-08-09 22:24:15,22
2020-11-07 18:20:51,151
2020-05-28 09:47:06,268
2020-03-29 07:19:52,241
2020-12-04 12:19:26,22
2020-12-08 23:01:07,27
2020-06-17 12:35:21,19
2020-11-13 21:21:58,16
2020-10-17 05:29:17,15
2020-03-29 09:30:01,267
2020-03-15 10:00:20,10
2020-11-20 15:30:55,247
2020-06-10 19:54:29,23
2020-06-20 13:37:45,14
2020-05-13 14:15:57,293
2020-04-07 08:03:33,10
2020-12-02 17:11:13,19
2020-09-13 08:29:44,15
2020-04-24 21:04:39,22
2020-11-14 05:34:14,184
2020-02-23 21:51:31,168
2020-08-03 19:34:41,223
2020-09-08 10:03:40,271
2020-07-14 14:17:40,25
2020-04-27 11:28:38,19
2020-01-23 16:42:46,155
2020-08-09 11:38:31,14
2020-10-09 13:46:16,21
2020-07-06 16:01:44,230
2020-04-29 22:06:51,10
2020-07-12 07:49:25,20
2020-06-06 03:36:00,29
2020-06-07 18:52:24,14
2020-11-09 12:36:57,136
2020-09-14 21:05:57,18
2020-07-21 16:38:56,202
2020-11-08 14:25:46,131
2020-11-23 11:57:52,28
2020-07-28 08:12:12,28
2020-05-18 00:01:30,24
2020-10-11 15:40:34,17
2020-08-25 23:25:01,118
2020-09-05 09:15:04,172
2020-10-09 11:09:17,199
2020-12-09 03:28:25,28
2020-10-12 10:38:21,290
2020-04-06 12:37:46,115
2020-05-19 11:14:48,11
2020-05-28 13:55:30,10
2020-11-03 15:28:07,262
2020-01-09 00:36:19,262
2020-10-19 07:28:53,22
2020-02-08 22:04:17,205
2020-05-06 17:26:39,29
2020-06-20 08:42:02,275
2020-11-21 15:59:23,28
2020-02-29 05:46:41,150
2020-02-24 00:07:27,20
2020-11-27 19:43:23,134
2020-05-13 12:08:42,287
2020-11-25 13:39:02,24
2020-11-10 12:07:54,242
2020-09-09 02:26:01,23
2020-09-17 12:00:41,169
2020-09-06 03:59:18,154
2020-02-21 02:22:37,11
2020-07-30 08:04:24,26
2020-04-14 13:23:11,10
2020-11-07 08:44:01,15
2020-05-24 11:34:06,23
2020-09-13 22:02:10,10
2020-08-22 21:14:28,244
2020-08-19 06:51:56,16
2020-11-03 12:52:35,178
2020-04-27 01:26:33,121
2020-01-07 14:45:18,14
2020-04-03 08:11:00,23
2020-02-20 00:14:36,203
2020-09-17 23:05:51,194
2020-04-06 17:27:52,17
2020-09-05 15:28:24,251
2020-01-11 17:53:52,19
2020-07-09 14:42:49,11
2020-09-30 04:06:42,22
2020-05-29 18:27:47,17
2020-07-28 03:38:04,119
2020-06-24 16:23:31,10
2020-03-18 10:52:54,17
2020-03-16 02:13:59,184
2020-12-22 22:35:57,148
2020-10-09 00:59:28,184
2020-05-27 13:51:49,22
2020-03-22 18:26:02,103
2020-03-10 15:33:16,24
2020-03-25 22:43:46,23
2020-11-29 04:18:46,102
2020-05-15 08:41:44,17
2020-11-30 07:02:09,28
2020-12-26 02:26:55,100
2020-11-28 15:26:20,20
2020-12-09 13:16:22,26
2020-09-15 09:05:12,10
2020-02-21 01:26:11,202
2020-07-02 15:18:04,21
2020-02-15 22:27:03,154
2020-08-22 04:02:00,283
2020-05-27 02:36:34,28
2020-02-05 10:18:11,278
2020-09-20 10:42:43,114
2020-02-24 21:02:46,13
2020-01-13 16:55:44,28
2020-12-06 22:51:28,25
2020-10-25 14:29:58,148
2020-08-25 19:56:04,27
2020-02-23 21:35:14,13
2020-05-23 22:02:27,226
2020-11-21 00:28:24,12
2020-08-18 11:03:53,262
2020-04-25 01:42:25,273
2020-06-29 06:05:02,23
2020-08-18 04:33:40,12
2020-04-02 21:58:12,244
2020-01-13 22:09:57,27
2020-12-09 23:58:44,22
2020-01-09 04:39:06,29
2020-01-15 00:25:21,22
2020-02-11 21:47:46,29
2020-02-09 04:11:01,28
2020-07-19 06:37:09,186
2020-07-27 14:03:42,220
2020-06-18 08:17:38,11
2020-02-26 20:39:19,13
2020-12-20 08:17:04,20
2020-02-26 16:23:29,225
2020-04-17 16:46:03,175
2020-09-18 16:04:02,214
2020-02-20 09:33:58,13
2020-10-15 04:11:27,203
2020-07-01 20:01:28,19
2020-03-14 18:17:12,163
2020-07-17 02:36:49,24
2020-11-21 03:50:06,26
2020-06-24 23:08:24,27
2020-11-07 00:58:58,16
2020-06-14 17:04:40,22
2020-05-30 23:05:58,156
2020-11-12 09:22:58,220
2020-06-17 18:26:46,248
2020-12-16 11:43:21,183
2020-07-18 18:31:25,279
2020-08-21 03:27:22,16
2020-09-09 02:34:01,21
2020-10-12 07:01:27,13
2020-02-22 11:16:12,12
2020-10-31 09:12:40,19
2020-07-27 00:45:22,24
2020-11-03 05:25:21,14
2020-08-14 19:03:07,14
2020-06-21 08:37:15,28
2020-05-06 20:16:08,29
2020-03-14 13:35:29,135
2020-11-21 10:06:36,277
2020-06-14 06:22:04,18
2020-09-22 22:37:16,27
2020-07-12 10:26:23,16
2020-04-27 02:50:37,145
2020-10-22 14:29:09,12
2020-10-07 09:46:42,26
2020-10-20 12:17:40,13
2020-06-14 00:37:53,102
2020-07-05 15:56:58,11
2020-01-26 01:07:24,11
2020-04-27 16:25:07,13
2020-01-10 19:46:22,298
2020-12-12 04:09:45,20
2020-12-03 08:05:56,109
2020-04-28 10:37:40,28
2020-01-09 13:42:56,218
2020-03-03 03:05:52,190
2020-06-29 02:27:38,270
2020-02-23 13:20:28,214
2020-12-06 15:31:02,293
2020-04-23 09:42:15,102
2020-06-28 20:05:58,10
2020-01-07 13:21:22,29
2020-07-11 05:27:10,15
2020-09-25 19:43:45,29
2020-10-09 10:57:26,112
2020-05-08 23:11:40,20
2020-04-14 17:00:14,288
2020-02-07 16:24:57,13
2020-09-05 16:55:27,126
2020-08-02 16:37:09,16
2020-10-03 14:30:53,236
2020-05-02 04:25:42,17
2020-12-10 15:04:25,28
2020-06-02 07:14:39,198
2020-11-17 01:40:50,266
2020-08-24 12:50:17,135
2020-12-20 07:25:45,11
2020-06-04 20:33:30,16
2020-02-12 18:50:04,264
2020-06-08 07:24:58,15
2020-02-04 00:43:02,15
2020-07-05 03:40:10,16
2020-08-31 13:46:11,240
2020-07-03 13:22:28,172
2020-06-23 23:53:21,218
2020-04-11 09:18:22,11
2020-06-13 20:44:07,162
2020-09-04 07:38:51,285
2020-06-03 19:22:40,138
2020-12-12 15:43:32,172
2020-07-09 16:30:10,146
2020-11-30 04:58:39,13
2020-02-29 22:54:50,236
2020-09-12 23:54:19,217
2020-03-30 10:20:03,139
2020-10-24 23:56:57,201
2020-12-02 23:24:18,283
2020-11-18 06:07:44,25
2020-12-17 18:10:44,231
2020-06-29 16:09:45,118
2020-12-31 04:01:59,122
2020-01-31 14:41:55,24
2020-07-17 06:04:57,207
2020-09-11 17:53:14,251
2020-07-23 21:53:01,219
2020-08-22 15:03:04,24
2020-01-10 17:07:00,20
2020-01-24 21:26:20,29
2020-02-06 02:06:24,17
2020-09-17 00:35:44,271
2020-01-14 16:55:04,25
2020-12-12 03:52:45,166
2020-09-29 18:58:23,114
2020-01-14 03:26:41,16
2020-05-22 17:17:18,205
2020-09-06 17:29:15,11
2020-08-21 10:04:00,20
2020-12-03 17:17:11,177
2020-04-16 08:59:45,28
2020-08-08 09:57:42,185
2020-10-12 08:26:39,13
2020-08-25 11:12:30,250
2020-06-02 08:53:04,173
2020-04-01 08:43:45,17
2020-07-04 22:16:23,240
2020-07-18 04:08:07,179
2020-06-08 16:16:43,28
2020-07-15 23:57:36,291
2020-10-15 22:28:12,199
2020-06-29 13:22:59,290
2020-02-29 10:19:15,190
2020-08-11 20:36:00,11
2020-10-11 02:47:56,129
2020-05-10 06:04:00,190
2020-08-05 10:54:04,28
2020-10-31 08:37:45,14
2020-01-18 13:10:01,226
2020-11-13 21:12:35,296
2020-02-17 19:15:33,186
2020-10-25 08:03:38,219
2020-10-31 23:47:06,157
2020-10-06 19:24:37,19
2020-08-30 05:12:20,13
2020-07-09 14:33:20,18
2020-01-26 23:24:35,18
2020-02-01 14:19:56,10
2020-01-31 00:59:13,21
2020-02-19 21:20:06,28
2020-01-23 01:39:41,118
2020-09-11 23:33:13,28
2020-10-30 20:03:42,128
2020-05-30 19:44:56,19
2020-03-25 01:00:14,113
2020-06-01 08:10:01,110
2020-12-23 20:20:06,271
2020-03-13 18:59:54,22
2020-12-19 08:29:32,138
2020-02-19 03:33:32,12
2020-06-18 01:24:04,285
2020-08-19 02:49:38,119
2020-02-02 22:30:33,152
2020-04-22 08:22:14,244
2020-02-18 13:22:10,11
2020-06-10 15:20:47,21
2020-07-04 18:43:08,14
2020-07-05 07:40:37,26
2020-02-07 17:33:12,29
2020-08-08 17:34:36,19
2020-10-19 23:53:26,11
2020-07-16 13:29:27,110
2020-01-14 11:49:58,153
2020-08-06 15:57:24,13
2020-12-08 06:20:00,176
2020-07-13 17:01:59,279
2020-08-18 22:45:19,212
2020-11-15 16:03:42,16
2020-01-29 02:37:42,225
2020-08-30 06:19:38,133
2020-05-15 17:56:30,28
2020-02-01 07:16:19,278
2020-08-20 00:04:57,26
2020-07-09 16:46:13,23
2020-07-22 11:02:15,139
2020-12-17 08:23:09,24
2020-03-20 18:58:25,292
2020-03-05 08:26:24,13
2020-08-19 16:03:10,20
2020-08-05 01:37:15,23
2020-08-05 22:35:24,256
2020-06-23 04:18:13,281
2020-09-05 19:25:23,256
2020-08-06 02:07:37,269
2020-12-01 11:20:27,18
2020-04-14 00:19:32,190
2020-05-07 19:58:19,18
2020-10-25 07:21:56,199
2020-10-06 02:57:01,20
2020-11-21 07:22:08,182
2020-08-31 08:03:06,22
2020-04-02 23:36:31,22
2020-01-10 06:22:39,112
2020-02-01 17:38:03,239
2020-09-22 17:57:50,277
2020-08-10 16:15:37,14
2020-12-19 04:41:17,17
2020-09-15 08:38:12,177
2020-12-02 17:25:51,286
2020-12-15 11:34:37,24
2020-12-09 16:38:35,120
2020-01-31 08:32:36,146
2020-01-09 14:13:14,23
2020-04-14 06:16:59,19
2020-02-15 01:21:54,241
2020-11-25 14:03:19,12
2020-02-18 11:19:10,189
2020-01-28 19:22:14,239
2020-02-02 01:34:39,22
2020-09-20 13:54:03,260
2020-11-07 04:48:45,204
2020-07-19 09:24:42,28
2020-07-15 03:27:14,154
2020-01-12 15:36:48,249
2020-07-09 07:44:29,13
2020-11-08 01:36:19,246
2020-12-28 02:45:42,173
2020-08-15 23:14:25,18
2020-04-10 12:17:59,195
2020-12-15 19:50:26,167
2020-02-23 16:38:14,280
2020-08-16 12:24:05,180
2020-11-11 09:50:54,110
2020-04-10 09:53:25,141
2020-12-06 19:49:48,18
2020-01-29 01:50:27,11
2020-02-11 09:54:10,17
2020-09-07 16:09:27,13
2020-01-21 22:12:48,24
2020-12-14 23:29:36,13
2020-03-02 10:59:51,284
2020-02-07 19:03:49,20
2020-01-27 12:46:11,12
2020-08-13 14:00:01,236
2020-10-22 22:07:19,267
2020-08-17 01:36:31,157
2020-05-20 04:12:37,14
2020-10-01 05:36:56,194
2020-10-01 15:04:18,268
2020-02-27 22:04:50,229
2020-10-21 13:36:08,158
2020-10-08 17:12:21,10
2020-12-25 07:34:20,19
2020-08-01 18:15:37,10
2020-03-21 11:29:42,132
2020-03-21 09:15:46,12
2020-06-27 10:29:11,141
2020-08-13 13:36:06,243
2020-02-18 21:38:29,18
2020-01-05 09:52:16,15
2020-09-05 12:06:44,297
2020-05-22 05:38:26,134
2020-02-28 05:20:28,295
2020-04-08 15:27:57,17
2020-09-26 04:17:51,200
2020-01-16 05:52:30,257
2020-02-13 00:12:13,24
2020-05-26 03:35:09,22
2020-03-02 15:11:29,13
2020-10-02 00:36:17,10
2020-03-17 08:49:52,10
2020-09-07 18:26:27,293
2020-09-15 11:30:56,186
2020-09-14 07:37:35,20
2020-07-17 09:01:49,280
2020-11-07 07:49:06,211
2020-08-02 02:40:14,29
2020-10-28 10:03:54,23
2020-11-08 07:54:23,21
2020-06-20 20:03:32,238
2020-11-30 22:17:20,25
2020-03-13 21:14:06,23
2020-06-25 23:34:24,258
2020-05-07 02:59:11,163
2020-03-27 07:10:02,24
2020-06-20 22:11:11,220
2020-02-26 05:20:05,114
2020-03-29 02:45:09,19
2020-06-21 11:18:58,171
2020-04-22 11:51:08,104
2020-07-27 02:51:56,113
2020-12-16 00:30:47,191
2020-09-15 05:09:21,23
2020-06-04 11:28:19,176
2020-11-08 04:36:45,112
2020-09-22 14:31:20,23
2020-03-15 19:32:24,10
2020-10-26 21:40:07,105
2020-03-23 10:33:38,107
2020-01-16 13:02:04,25
2020-09-16 21:32:47,151
2020-05-03 15:25:36,16
2020-02-02 08:26:25,16
2020-06-12 07:07:49,109
2020-06-21 22:11:30,189
2020-04-28 07:32:57,28
2020-10-21 10:59:03,11
2020-01-11 23:29:33,147
2020-03-03 16:30:42,284
2020-10-14 09:45:52,136
2020-11-09 03:17:05,270
2020-10-25 03:55:00,25
2020-05-02 03:47:12,299
2020-05-11 10:40:06,12
2020-07-22 15:20:19,209
2020-07-29 10:02:14,22
2020-06-29 08:53:08,144
2020-09-20 17:20:29,152
2020-06-24 17:58:20,12
2020-12-30 17:21:58,271
2020-01-24 20:55:13,24
2020-03-20 12:26:26,154
2020-01-18 15:42:44,273
2020-04-05 01:36:34,292
2020-10-26 01:53:42,16
2020-06-08 16:05:46,201
2020-10-10 04:58:14,246
2020-12-12 10:09:05,23
2020-07-18 14:29:02,22
2020-02-13 19:43:54,284
2020-06-13 18:00:28,188
2020-01-22 22:54:01,27
2020-08-17 08:17:14,23
2020-11-27 02:41:04,13
2020-11-16 23:13:58,13
2020-06-14 22:39:47,183
2020-06-13 09:40:10,24
2020-06-15 13:47:42,22
2020-11-05 15:41:48,187
2020-04-30 03:32:32,19
2020-05-14 08:58:13,171
2020-02-14 21:34:47,278
2020-10-08 06:20:14,20
2020-07-19 22:42:57,219
2020-05-22 07:06:44,292
2020-01-15 22:52:21,167
2020-07-13 13:53:39,17
2020-07-10 04:01:53,10
2020-06-13 05:57:19,12
2020-11-01 02:40:41,231
2020-04-28 15:51:48,13
2020-02-13 05:31:46,140
2020-04-03 18:44:52,14
2020-03-07 20:00:33,289
2020-08-19 15:08:10,23
2020-03-18 09:58:27,24
2020-08-29 00:54:29,24
2020-01-11 06:41:15,235
2020-12-16 22:13:50,12
2020-07-21 17:22:11,260
2020-07-19 09:28:41,28
2020-07-20 02:41:52,277
2020-09-12 10:48:44,14
2020-06-07 10:01:10,103
2020-04-09 03:09:41,28
2020-05-18 03:44:03,102
2020-03-02 21:52:24,169
2020-09-02 01:29:16,29
2020-02-08 19:55:34,26
2020-10-21 18:22:32,21
2020-05-18 16:58:03,209
2020-01-14 15:15:03,17
2020-03-30 11:04:13,223
2020-07-30 03:58:24,12
2020-02-09 20:23:47,21
2020-12-06 05:58:14,13
2020-10-24 20:35:07,164
2020-05-22 15:10:34,271
2020-05-03 04:23:04,15
2020-01-06 08:56:48,25
2020-04-13 09:20:29,20
2020-09-11 14:08:24,23
2020-03-24 09:14:08,149
2020-10-10 10:39:50,17
2020-03-09 16:40:14,204
2020-10-21 20:34:07,162
2020-08-17 19:57:12,115
2020-10-18 05:22:48,114
